,id,symbol,name,image,current_price,market_cap,fully_diluted_valuation,total_volume,circulating_supply,total_supply,max_supply,ath,to_ATH_pct,Price_Change_24h,Price_Change_7d,Price_Change_30d,Price_Change_200d,Price_Change_1Y,market_cap_dominance,volume_dominance,mcap_vol_ratio,mcap_circ_ratio,id_protocols,name_protocols,symbol_protocols,gecko_id,chain,category,slug,tvl,change_1h,change_1d,change_7d,gecko_id_chains,tvl_chains,tokenSymbol,cmcId,name_chains,chainId,mcap_tvl_ratio_dapp,mcap_tvl_ratio_chain
76,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/klaytn.png?1660288824,0.1864,577.36,,18.62,3097472206.17,,,4.34,-95.7,-2.83,2.26,-16.3,1.61,-58.43,0.05,0.03,31.01,,,,,,,,,,,,,klay-token,210.61,KLAY,4256,Klaytn,8217,,2.74
77,injective-protocol,inj,Injective,https://assets.coingecko.com/coins/images/12882/large/Secondary_Symbol.png?1628233237,7.2,575.79,719.68,60.89,80005555.33,100000000.0,100000000.0,24.89,-71.07,-6.43,10.08,-9.83,315.97,228.8,0.05,0.11,9.46,0.8,349,Injective Bridge,INJ,injective-protocol,Ethereum,Bridge,injective-bridge,14.05,0.06102322319352993,0.03131364724630714,-4.158741248949255,injective-protocol,24.67,INJ,,Injective,,40.98,23.34
78,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,637.36,574.36,640.8,12.51,901310.95,977631.04,1005577.0,6292.31,-89.87,-0.96,2.46,-8.3,-8.89,-51.62,0.05,0.02,45.91,0.92,118,MakerDAO,MKR,maker,Ethereum,CDP,makerdao,6807.54,-0.10070799547212061,-2.3593855306515934,0.7765659313281077,,,,,,,0.08,
79,gemini-dollar,gusd,Gemini Dollar,https://assets.coingecko.com/coins/images/5992/large/gemini-dollar-gusd.png?1536745278,1.0,570.55,570.55,0.57,572430621.66,572430621.66,,3.3,-69.83,-0.17,-0.12,-0.3,-0.79,-0.61,0.05,0.0,1000.96,1.0,,,,,,,,,,,,,,,,,,,
80,kava,kava,Kava,https://assets.coingecko.com/coins/images/9761/large/kava.png?1663638871,1.04,568.22,,25.4,545717902.0,545711176.0,,9.12,-88.58,-8.51,-13.8,35.39,3.4,-64.73,0.05,0.05,22.37,1.0,,,,,,,,,,,,kava,367.29,KAVA,4846,Kava,,,1.55
81,bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1643857231,1e-06,564.61,587.5,18.33,951421714286000.0,990000000000000.0,990000000000000.0,3.43e-06,-82.65,-2.2,-0.97,-7.71,-16.51,-46.9,0.05,0.03,30.8,0.96,,,,,,,,,,,,bittorrent,13.74,BTT,16086,Bittorrent,199,,41.09
82,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,0.2037,563.9,,25.72,2779530283.28,2779530283.0,,5.25,-96.14,-7.29,6.63,4.2,-7.91,-41.8,0.05,0.05,21.92,1.0,,,,,,,,,,,,,,,,,,,
83,casper-network,cspr,Casper Network,https://assets.coingecko.com/coins/images/15279/large/casper.PNG?1620341020,0.0479,530.27,563.02,5.35,11069062076.0,11752574588.0,,1.33,-96.38,-3.48,1.38,-21.19,46.55,23.64,0.05,0.01,99.12,0.94,,,,,,,,,,,,,,,,,,,
84,pepe,pepe,Pepe,https://assets.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1682922725,1e-06,527.68,527.68,124.1,420690000000000.0,420690000000000.0,420690000000000.0,4.31e-06,-70.8,-9.49,-16.33,0.04,,,0.05,0.23,4.25,1.0,,,,,,,,,,,,,,,,,,,
85,chiliz,chz,Chiliz,https://assets.coingecko.com/coins/images/8834/large/CHZ_Token_updated.png?1675848257,0.0985,526.43,875.61,38.55,5344064580.0,8888888888.0,8888888888.0,0.878633,-88.78,-2.88,-4.12,-21.59,-53.93,-20.14,0.05,0.07,13.66,0.6,,,,,,,,,,,,,,,,,,,
86,pax-gold,paxg,PAX Gold,https://assets.coingecko.com/coins/images/9519/large/paxg.PNG?1568542565,1963.42,516.59,,8.92,263074.64,263074.64,,2241.37,-12.37,-0.15,-1.1,-1.22,13.2,5.89,0.04,0.02,57.91,1.0,,,,,,,,,,,,,,,,,,,
87,sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1683114182,0.96,510.64,9666.26,94.26,528273718.0,10000000000.0,10000000000.0,2.16,-55.51,-8.11,-3.14,,,,0.04,0.17,5.42,0.05,,,,,,,,,,,,sui,19.38,SUI,20947,Sui,,,26.35
88,tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1672912391,6.34,506.87,633.61,8.36,79995999.95,100000000.0,100000000.0,22.3,-71.58,-2.2,1.2,-2.31,-36.91,18.5,0.04,0.02,60.63,0.8,,,,,,,,,,,,,,,,,,,
89,huobi-token,ht,Huobi,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,3.09,501.29,629.88,10.91,162336522.3,203980445.3,203980445.3,39.66,-92.21,-3.95,2.19,-11.37,-40.82,-56.79,0.04,0.02,45.95,0.8,,,,,,,,,,,,huobi-token,60.58,HT,2502,Heco,128,,8.27
90,terra-luna,lunc,Terra Luna Classic,https://assets.coingecko.com/coins/images/8284/large/01_LunaClassic_color.png?1653547790,8.4e-05,493.86,577.24,17.97,5860134856279.23,6849533500857.36,,119.18,-100.0,-3.19,-3.92,-22.19,-53.75,-28.0,0.04,0.03,27.48,0.86,,,,,,,,,,,,terra-luna,3.38,LUNC,4172,Terra,,,146.11
91,mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1621394004,0.5387,490.56,559.81,13.36,909497957.84,1037872972.84,,9.09,-94.07,-5.96,-3.9,-17.4,-2.38,-44.44,0.04,0.02,36.72,0.88,,,,,,,,,,,,,,,,,,,
92,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,42.72,483.87,,61.26,11302791.84,18920000.0,,1493.59,-97.13,-2.55,2.04,-13.46,26.37,-31.15,0.04,0.11,7.9,0.6,,,,,,,,,,,,,,,,,,,
93,tether-gold,xaut,Tether Gold,https://assets.coingecko.com/coins/images/10481/large/Tether_Gold.png?1668148656,1954.43,481.78,481.78,4.73,246524.33,246524.33,,2169.74,-9.92,0.33,-1.32,-1.81,14.14,5.03,0.04,0.01,101.86,1.0,,,,,,,,,,,,,,,,,,,
94,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,37.49,478.4,478.4,0.0,12760733.57,12760733.62,,97.75,-61.65,-2.37,2.8,1.0,48.19,-4.95,0.04,0.0,,1.0,,,,,,,,,,,,,,,,,,,
95,frax-share,fxs,Frax Share,https://assets.coingecko.com/coins/images/13423/large/Frax_Shares_icon.png?1679886947,6.59,475.7,657.62,11.24,72208131.84,99822984.11,99822984.11,42.8,-84.61,-4.52,-4.18,-14.19,50.02,-10.27,0.04,0.02,42.32,0.72,,,,,,,,,,,,,,,,,,,
96,ecash,xec,eCash,https://assets.coingecko.com/coins/images/16646/large/Logo_final-22.png?1628239446,2.4e-05,473.22,512.19,3.23,19402179673303.0,21000000000000.0,21000000000000.0,0.00038001,-93.59,-3.4,-4.26,-16.89,-18.74,-52.71,0.04,0.01,146.51,0.92,,,,,,,,,,,,,,,,,,,
97,gmx,gmx,GMX,https://assets.coingecko.com/coins/images/18323/large/arbit.png?1631532468,54.04,473.14,716.04,11.94,8755203.19,8755203.19,13250000.0,91.07,-40.65,-5.18,-2.76,-23.83,46.38,149.73,0.04,0.02,39.63,1.0,337,GMX,GMX,gmx,Multi-Chain,Derivatives,gmx,615.48,-0.7276390426380601,-2.381898401193965,-6.2827198876045,,,,,,,0.77,
98,xdce-crowd-sale,xdc,XDC Network,https://assets.coingecko.com/coins/images/2912/large/xdc-icon.png?1633700890,0.0327,452.99,,3.75,13839559384.05,37839557580.3,,0.192754,-83.02,4.82,6.96,-13.1,25.45,-26.6,0.04,0.01,120.8,0.37,,,,,,,,,,,,xdce-crowd-sale,3.09,XDC,2634,XDC,,,146.6
99,trust-wallet-token,twt,Trust Wallet,https://assets.coingecko.com/coins/images/11085/large/Trust.png?1588062702,1.07,448.28,,8.59,416649900.0,1000000000.0,,2.72,-60.45,-2.11,0.07,-7.35,-8.66,57.55,0.04,0.02,52.19,0.42,,,,,,,,,,,,,,,,,,,
100,frax-ether,frxeth,Frax Ether,https://assets.coingecko.com/coins/images/28284/large/frxETH_icon.png?1679886981,1862.46,431.52,431.52,3.11,231541.01,231541.01,,2134.61,-12.58,-2.63,2.57,0.92,,,0.04,0.01,138.75,1.0,,,,,,,,,,,,,,,,,,,
101,flare-networks,flr,Flare,https://assets.coingecko.com/coins/images/28624/large/FLR-icon200x200.png?1673325704,0.0241,398.49,2431.75,6.36,16557154461.62,101037646746.45,,0.150073,-83.95,-2.73,-13.45,-22.05,,,0.03,0.01,62.66,0.16,,,,,,,,,,,,flare-networks,0.23,FLR,4172,Flare,,,1732.57
102,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.0229,389.68,,0.0,17042351385.1,17042351385.1,,0.058843,-61.14,-0.15,-0.04,0.11,0.64,0.95,0.03,0.0,,1.0,,,,,,,,,,,,,,,,,,,
103,zilliqa,zil,Zilliqa,https://assets.coingecko.com/coins/images/2687/large/Zilliqa-logo.png?1547036894,0.0227,376.31,477.66,21.09,16543987537.36,17592993726.71,21000000000.0,0.255376,-91.09,-4.02,-1.39,-17.33,2.9,-59.04,0.03,0.04,17.84,0.94,,,,,,,,,,,,zilliqa,4.63,ZIL,2469,Zilliqa,,,81.28
104,nexo,nexo,NEXO,https://assets.coingecko.com/coins/images/3695/large/nexo.png?1548086057,0.6721,376.08,671.57,3.63,560000010.01,1000000000.0,1000000000.0,4.07,-83.49,-1.53,-0.68,-3.75,0.63,-48.04,0.03,0.01,103.6,0.56,2435,Nexo,-,nexo,Multi-Chain,CEX,nexo,293.87,-0.1660810960564305,-3.485561251419483,-0.5224349035902804,,,,,,,1.28,
105,woo-network,woo,WOO Network,https://assets.coingecko.com/coins/images/12921/large/w2UiemF__400x400.jpg?1603670367,0.219,372.01,492.99,13.86,1698356060.19,2250658857.9,2250658857.9,1.78,-87.68,-4.68,3.9,-19.48,76.0,21.59,0.03,0.03,26.84,0.75,,,,,,,,,,,,,,,,,,,
106,singularitynet,agix,SingularityNET,https://assets.coingecko.com/coins/images/2138/large/singularitynet.png?1548609559,0.2983,364.03,596.83,127.05,1219881810.88,1293604878.73,2000000000.0,0.95023,-68.6,-9.19,13.75,-6.38,645.96,319.24,0.03,0.23,2.87,0.94,,,,,,,,,,,,,,,,,,,
107,nxm,nxm,Nexus Mutual,https://assets.coingecko.com/coins/images/11810/large/NXMmain.png?1674799570,52.66,355.99,355.99,0.01,6759958.15,6759958.15,6759958.15,185.97,-71.68,-2.37,2.55,2.71,27.86,-17.79,0.03,0.0,35599.0,1.0,122,Nexus Mutual,NXM,nxm,Ethereum,Insurance,nexus-mutual,271.71,-0.17368270288393717,-1.9427453335286344,2.7856427847051606,,,,,,,1.31,
108,mask-network,mask,Mask Network,https://assets.coingecko.com/coins/images/14051/large/Mask_Network.jpg?1614050316,4.43,355.47,443.64,59.84,80125000.0,100000000.0,100000000.0,41.45,-89.29,-4.45,10.2,-1.56,29.57,109.51,0.03,0.11,5.94,0.8,,,,,,,,,,,,,,,,,,,
109,loopring,lrc,Loopring,https://assets.coingecko.com/coins/images/913/large/LRC.png?1572852344,0.28,349.04,385.04,19.03,1245991468.94,1373873397.44,1374513896.0,3.75,-92.53,-4.79,-2.99,-16.47,12.62,-49.02,0.03,0.03,18.34,0.91,126,Loopring,LRC,loopring,Ethereum,Dexes,loopring,101.23,-0.37927951096642687,-3.3711783357520204,-0.9971301962526411,,,,,,,3.45,
110,krypton-dao,krd,Krypton DAO,https://assets.coingecko.com/coins/images/25467/large/krd.png?1651915442,3.38,346.64,33832.96,0.07,102457125.0,10000000000.0,10000000000.0,4.04,-14.85,-11.01,64.01,61.56,857.92,987.34,0.03,0.0,4952.0,0.01,,,,,,,,,,,,,,,,,,,
111,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/Rune200x200.png?1671179394,1.12,337.79,561.67,37.71,300700561.0,500000000.0,500000000.0,20.87,-94.62,-4.64,0.17,-15.38,-0.01,-65.19,0.03,0.07,8.96,0.6,412,Thorchain,RUNE,thorchain,Multi-Chain,Dexes,thorchain,103.55,-0.5011666843959119,-3.626117301661182,1.7947054188285279,thorchain,53.61,RUNE,4157,Thorchain,,3.26,6.3
112,convex-finance,cvx,Convex Finance,https://assets.coingecko.com/coins/images/15585/large/convex.png?1621256328,4.24,329.77,424.64,2.76,77658217.14,98263317.49,100000000.0,60.09,-92.93,-4.17,-5.42,-16.82,11.4,-59.2,0.03,0.01,119.48,0.79,319,Convex Finance,CVX,convex-finance,Multi-Chain,Yield,convex-finance,3272.94,0.005832156864556737,-1.9972480277810831,0.06733091731949514,,,,,,,0.1,
113,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/pancakeswap-cake-logo_%281%29.png?1629359065,1.64,329.53,1228.23,41.2,201222416.41,385793570.65,750000000.0,43.96,-96.27,-5.88,-3.48,-37.63,-59.24,-64.92,0.03,0.08,8.0,0.52,,,,,,,,,,,,,,,,,,,
114,btse-token,btse,BTSE Token,https://assets.coingecko.com/coins/images/10807/large/BTSE_logo_Square.jpeg?1583965964,2.05,329.48,406.61,1.63,162061501.0,200000000.0,200000000.0,9.21,-77.95,0.59,0.9,-4.97,-46.2,-69.57,0.03,0.0,202.13,0.81,,,,,,,,,,,,,,,,,,,
115,osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1632763885,0.5577,328.61,557.9,12.19,589022556.0,325000000.0,1000000000.0,11.25,-95.04,-2.33,-5.81,-25.59,-53.67,-60.16,0.03,0.02,26.96,1.81,383,Osmosis DEX,OSMO,osmosis,Osmosis,Dexes,osmosis-dex,140.72,-0.48227074322116437,-2.7240839967851116,-4.895390575267982,osmosis,146.93,OSMO,12220,Osmosis,,2.34,2.24
116,arweave,ar,Arweave,https://assets.coingecko.com/coins/images/4343/large/oRt6SiEN_400x400.jpg?1591059616,6.53,327.38,431.21,9.91,50108502.0,64598643.0,66000000.0,89.24,-92.68,-5.96,-1.29,-14.43,-27.74,-56.23,0.03,0.02,33.04,0.78,,,,,,,,,,,,,,,,,,,
117,dydx,dydx,dYdX,https://assets.coingecko.com/coins/images/17500/large/hjnIm9bV.jpg?1628009360,2.03,326.82,2029.04,87.54,161073418.92,1000000000.0,1000000000.0,27.86,-92.71,-3.24,-1.31,-19.96,8.97,3.17,0.03,0.16,3.73,0.16,144,dYdX,DYDX,dydx,Ethereum,Derivatives,dydx,355.75,0.048844780768789064,-0.036577696778167024,3.669404337439204,,,,,,,0.92,
118,enjincoin,enj,Enjin Coin,https://assets.coingecko.com/coins/images/1102/large/enjin-coin-logo.png?1547035078,0.3265,326.5,326.5,12.33,1000000000.0,1000000000.0,1000000000.0,4.82,-93.23,-3.56,-1.9,-14.85,-1.92,-53.12,0.03,0.02,26.48,1.0,,,,,,,,,,,,,,,,,,,
119,basic-attention-token,bat,Basic Attention,https://assets.coingecko.com/coins/images/677/large/basic-attention-token.png?1547034427,0.2145,319.36,321.69,13.66,1489138514.42,1500000000.0,1500000000.0,1.9,-88.72,-3.18,-1.71,-11.02,-10.8,-46.6,0.03,0.03,23.38,0.99,,,,,,,,,,,,,,,,,,,
120,1inch,1inch,1inch,https://assets.coingecko.com/coins/images/13469/large/1inch-token.png?1608803028,0.3837,313.74,575.85,16.34,817243019.84,1500000000.0,1500000000.0,8.65,-95.56,-4.05,-2.23,-17.31,-24.07,-60.81,0.03,0.03,19.2,0.54,189,1inch Network,1INCH,1inch,Multi-Chain,Dexes,1inch-network,6.0,2.074467879655046,,2.664100863580529,,,,,,,52.29,
121,floki,floki,FLOKI,https://assets.coingecko.com/coins/images/16746/large/PNG_image.png?1643184642,3.1e-05,312.35,,15.83,9944742952348.0,10000000000000.0,,0.00033651,-90.67,-5.15,-3.88,-3.64,292.17,218.37,0.03,0.03,19.73,0.99,2405,FlokiFi Locker,FLOKI,floki,Multi-Chain,Launchpad,flokifi-locker,4.14,-0.23778793352876448,-4.6207018419595585,2.6893930050225094,,,,,,,75.45,
122,baby-doge-coin,babydoge,Baby Doge Coin,https://assets.coingecko.com/coins/images/16125/large/babydoge.jpg?1676303229,0.0,311.66,838.42,2.14,1.561248560922935e+17,4.2e+17,4.2e+17,6.345e-09,-68.54,-4.49,2.41,-23.05,67.24,12.32,0.03,0.0,145.64,0.37,2169,BabyDogeSwap,BabyDoge,baby-doge-coin,Binance,Dexes,babydogeswap,39.11,-0.0027652408483760382,-4.613623860951861,-2.541687645990095,,,,,,,7.97,
123,mx-token,mx,MX,https://assets.coingecko.com/coins/images/8545/large/MEXC_GLOBAL_LOGO.jpeg?1670213280,3.03,302.96,,0.55,100000000.0,435084834.0,,3.7,-18.1,-1.45,4.27,30.31,248.34,79.15,0.03,0.0,550.84,0.23,,,,,,,,,,,,,,,,,,,
124,gnosis,gno,Gnosis,https://assets.coingecko.com/coins/images/662/large/logo_square_simple_300px.png?1609402668,114.36,296.46,343.44,1.11,2589589.0,3000000.0,3000000.0,644.2,-82.23,-2.86,0.74,7.69,22.19,-44.55,0.03,0.0,267.08,0.86,2520,Gnosis DAO,GNO,gnosis,Ethereum,Services,gnosis-dao,0.0,,,,gnosis,75.71,GNO,1659,xDai,100,,3.92
125,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_WC_Logo_200px.png?1642668663,0.0325,292.93,,6.87,8999999999.0,8999999999.0,,1.87,-98.26,-3.01,2.55,-11.11,-0.45,-37.83,0.03,0.01,42.64,1.0,,,,,,,,,,,,,,,,,,,
126,oec-token,okt,OKT Chain,https://assets.coingecko.com/coins/images/13708/large/WeChat_Image_20220118095654.png?1642471094,16.3,290.67,342.01,0.49,17847480.0,17847259.5,21000000.0,250.53,-93.49,-2.79,0.06,-13.05,9.2,-41.09,0.02,0.0,593.2,1.0,,,,,,,,,,,,oec-token,127.55,OKT,8267,OKExChain,66,,2.28
127,staked-frax-ether,sfrxeth,Staked Frax Ether,https://assets.coingecko.com/coins/images/28285/large/sfrxETH_icon.png?1679886768,1943.04,284.66,284.66,0.26,146434.56,146434.56,,7545.09,-74.21,-2.97,2.74,2.13,,,0.02,0.0,1094.85,1.0,,,,,,,,,,,,,,,,,,,
128,holotoken,hot,Holo,https://assets.coingecko.com/coins/images/3348/large/Holologo_Profile.png?1547037966,0.001577,280.21,,7.86,177619433541.14,177619433541.14,,0.03126682,-94.95,-2.75,-2.64,-14.66,-1.52,-39.67,0.02,0.01,35.65,1.0,,,,,,,,,,,,,,,,,,,
129,liquity-usd,lusd,Liquity USD,https://assets.coingecko.com/coins/images/14666/large/Group_3.png?1617631327,1.0,280.14,,4.14,279800646.29,279800646.29,,1.16,-13.55,-0.28,-0.43,-1.04,-2.18,-0.68,0.02,0.01,67.67,1.0,,,,,,,,,,,,,,,,,,,
130,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,32.68,279.87,688.28,19.09,8539022.72,21000000.0,21000000.0,3191.93,-98.97,-3.7,3.85,-11.33,-14.34,-65.05,0.02,0.03,14.66,0.41,,,,,,,,,,,,,,,,,,,
131,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.0222,278.04,278.04,0.0,12508089799.39,12508089799.39,,0.03159087,-29.63,-0.22,-0.1,0.03,0.32,0.91,0.02,0.0,,1.0,,,,,,,,,,,,,,,,,,,
132,safemoon,safemoon,SafeMoon [OLD],https://assets.coingecko.com/coins/images/14362/large/174x174-white.png?1617174846,0.0,277.8,,0.0,0.0,1000000000000000.0,,1.094e-05,-99.94,,0.97,-8.16,10.19,-94.33,0.02,0.0,,0.0,,,,,,,,,,,,,,,,,,,
133,fetch-ai,fet,Fetch.ai,https://assets.coingecko.com/coins/images/5681/large/Fetch.jpg?1572098136,0.2655,277.24,306.34,90.59,1043462805.0,1152997575.0,1152997575.0,1.17,-77.33,-5.07,12.41,-18.46,320.96,57.7,0.02,0.17,3.06,0.9,,,,,,,,,,,,,,,,,,,
134,qtum,qtum,Qtum,https://assets.coingecko.com/coins/images/684/large/Qtum_Logo_blue_CG.png?1637155875,2.59,271.15,,16.63,104678609.0,107822406.0,,100.22,-97.42,-5.39,-4.92,-9.13,23.16,-38.62,0.02,0.03,16.3,0.97,,,,,,,,,,,,,,,,,,,
135,illuvium,ilv,Illuvium,https://assets.coingecko.com/coins/images/14468/large/logo-200x200.png?1682415398,49.78,263.76,,9.67,5298598.46,9630304.67,,1911.26,-97.39,0.98,6.11,-2.07,7.01,-83.89,0.02,0.02,27.28,0.55,447,Illuvium,ILV,illuvium,Ethereum,Gaming,illuvium,0.0,,,,,,,,,,,
136,kaspa,kas,Kaspa,https://assets.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1653891958,0.0147,262.62,,6.82,17982152269.0,17982303539.0,,0.04279457,-65.24,-15.29,17.59,-44.39,260.21,7714.81,0.02,0.01,38.51,1.0,,,,,,,,,,,,,,,,,,,
137,tominet,tomi,tomiNet,https://assets.coingecko.com/coins/images/28730/large/logo_for_token.png?1673690005,4.15,260.45,,12.54,62651273.34,111628017.52,,5.18,-19.64,7.24,8.08,34.13,,,0.02,0.02,20.77,0.56,,,,,,,,,,,,,,,,,,,
138,oasis-network,rose,Oasis Network,https://assets.coingecko.com/coins/images/13162/large/rose.png?1605772906,0.0514,258.6,514.17,20.44,5029357184.0,10000000000.0,10000000000.0,0.597347,-91.39,-3.28,-0.08,-14.46,9.71,-28.54,0.02,0.04,12.65,0.5,,,,,,,,,,,,oasis-network,4.47,ROSE,7653,Oasis,42262,,57.85
139,ethereum-name-service,ens,Ethereum Name Service,https://assets.coingecko.com/coins/images/19785/large/acatxTm8_400x400.jpg?1635850140,9.97,257.11,997.21,15.38,25783233.34,100000000.0,100000000.0,83.4,-88.05,-6.28,-0.68,-15.24,-17.49,-17.4,0.02,0.03,16.72,0.26,2519,ENS,ENS,ethereum-name-service,Ethereum,Services,ens,0.0,,,,,,,,,,,
140,chia,xch,Chia,https://assets.coingecko.com/coins/images/15174/large/zV5K5y9f_400x400.png?1620024414,34.01,254.37,,2.28,7477561.75,28477511.75,,1645.12,-97.93,-0.97,-2.74,-14.91,10.94,-1.81,0.02,0.0,111.57,0.26,,,,,,,,,,,,,,,,,,,
141,aleph-zero,azero,Aleph Zero,https://assets.coingecko.com/coins/images/17212/large/gtmuTVa.png?1626853180,1.1,253.22,,0.84,229585697.94,332688088.97,,3.09,-64.34,-2.18,2.79,-15.86,23.05,7.75,0.02,0.0,301.45,0.69,,,,,,,,,,,,,,,,,,,
142,huobi-btc,hbtc,Huobi BTC,https://assets.coingecko.com/coins/images/12407/large/Unknown-5.png?1599624896,28102.0,252.28,252.28,0.01,8969.5,8969.5,8969.5,166135.0,-83.07,-2.79,0.04,-1.46,66.92,-10.57,0.02,0.0,25228.0,1.0,,,,,,,,,,,,,,,,,,,
143,link,fnsa,FINSCHIA,https://assets.coingecko.com/coins/images/6450/large/FINSCHIA_coin_icon%28black%29.png?1685058330,36.73,250.33,,0.23,6854917.11,6854902.86,,345.88,-89.44,-2.36,0.08,-12.21,25.36,-33.35,0.02,0.0,1088.39,1.0,,,,,,,,,,,,,,,,,,,
144,theta-fuel,tfuel,Theta Fuel,https://assets.coingecko.com/coins/images/8029/large/1_0YusgngOrriVg4ZYx4wOFQ.png?1553483622,0.0407,250.19,,4.43,6155835504.0,6155826924.0,,0.68159,-94.04,-2.83,-3.82,-16.8,-10.68,-35.45,0.02,0.01,56.48,1.0,,,,,,,,,,,,,,,,,,,
145,audius,audio,Audius,https://assets.coingecko.com/coins/images/12913/large/AudiusCoinLogo_2x.png?1603425727,0.2367,248.99,275.9,11.82,1051967676.0,1165671576.38,1165671576.38,4.95,-95.22,-4.56,-1.86,-19.46,54.39,-44.78,0.02,0.02,21.07,0.9,,,,,,,,,,,,,,,,,,,
146,celo,celo,Celo,https://assets.coingecko.com/coins/images/11090/large/InjXBNx9_400x400.jpg?1674707499,0.4988,248.91,499.44,6.23,498369748.0,1000000000.0,1000000000.0,9.82,-94.92,-5.0,-2.27,-14.79,4.87,-66.41,0.02,0.01,39.95,0.5,504,Mento,-,celo,Multi-Chain,Algo-Stables,mento,89.74,-0.4089289324904115,-2.9184896852517994,-1.498004519300551,celo,95.84,CELO,5567,Celo,42220,2.77,2.6
147,defichain,dfi,DeFiChain,https://assets.coingecko.com/coins/images/11757/large/symbol-defi-blockchain_200.png?1597306538,0.3502,247.79,,3.48,707269828.77,1200000000.0,,5.61,-93.76,-2.56,-0.49,-24.62,-30.02,-84.92,0.02,0.01,71.2,0.59,1166,DefiChain DEX,DFI,defichain,DefiChain,Dexes,defichain-dex,125.12,-0.1964602724658988,-2.03860584566506,1.1414131802510923,defichain,226.55,DFI,5804,DefiChain,,1.98,1.09
148,ravencoin,rvn,Ravencoin,https://assets.coingecko.com/coins/images/3412/large/ravencoin.png?1548386057,0.0207,246.8,,7.26,11907968088.81,11907780693.81,,0.285218,-92.73,-3.95,-2.85,-12.01,-6.52,-30.74,0.02,0.01,33.99,1.0,,,,,,,,,,,,,,,,,,,
149,swipe,sxp,SXP,https://assets.coingecko.com/coins/images/9368/large/swipe.png?1566792311,0.4335,246.05,246.05,98.26,566190902.19,566190219.41,,5.79,-92.49,7.25,6.0,-20.18,94.47,-15.07,0.02,0.18,2.5,1.0,237,Swipe,SXP,swipe,Multi-Chain,Dexes,swipe,0.18,-0.16169392313631192,0.1171361506078199,1.353809415010062,,,,,,,1366.94,
150,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,35.77,245.46,358.01,9.64,6856085.76,10000000.0,10000000.0,910.54,-96.07,-2.88,3.36,-13.23,-5.97,-43.46,0.02,0.02,25.46,0.69,,,,,,,,,,,,,,,,,,,
151,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,16.17,242.74,,0.47,14986632.61,21000000.0,,247.35,-93.45,-2.23,-3.53,-10.19,-19.4,-56.31,0.02,0.0,516.47,0.71,,,,,,,,,,,,,,,,,,,
152,ronin,ron,Ronin,https://assets.coingecko.com/coins/images/20009/large/ronin.jpg?1649184678,1.06,233.69,1064.55,1.1,219522067.3,1000000000.0,1000000000.0,4.29,-75.22,-2.94,6.61,5.89,383.19,107.3,0.02,0.0,212.45,0.22,,,,,,,,,,,,,,,,,,,
153,terra-luna-2,luna,Terra,https://assets.coingecko.com/coins/images/25767/large/01_Luna_color.png?1653556122,0.8342,232.8,900.55,18.1,278811459.83,1078518456.26,,18.87,-95.56,-4.19,-6.37,-33.42,-49.69,-90.93,0.02,0.03,12.86,0.26,,,,,,,,,,,,terra-luna-2,11.67,LUNA,20314,Terra2,,,19.95
154,blur,blur,Blur,https://assets.coingecko.com/coins/images/28453/large/blur.png?1670745921,0.4794,232.25,1443.36,31.55,482725209.28,3000000000.0,3000000000.0,5.02,-90.35,-6.69,-4.42,-29.4,,,0.02,0.06,7.36,0.16,2414,Blur Bids,BLUR,blur,Ethereum,NFT Marketplace,blur-bids,115.64,-0.06792569073451205,-6.6832949596036855,-2.303002394089532,,,,,,,2.01,
